지표·데이터 가이드,,
,,
■ 매칭유형 (match_type),,
Type A,한자 직수용,한국 한자어가 일본에 정착 (물광피부→水光肌)
Type B,음차 외래어,영어 기반어를 카타카나로 공통 사용 (글로우→グロウ)
Type C,의미 현지화,"일본 고유 표현으로 치환 (모공레스→毛穴レス, 속보습→高保湿)"
Type D,시장 재정의,개념·단어 부재로 카피 재설계 (여성청결제→デリケートゾーンケア)
,,
■ 검색 노출도 (exposure),,
高,"검색·태그 다수, 제목어 우선 채택",
中,보조 키워드·태그로 활용,
低,본문 카피·니치 태그로만 사용,
,,
■ 거부감/위화감 (aversion),,
낮음,"일본 소비자에게 자연스러움, 그대로 사용 가능",
중간,"맥락에 따라 사용, 톤 점검 필요",
높음,"직역체·직접 표현 → 사용 지양, 대체어 권장",
,,
■ 薬機法 리스크,,
SAFE,"효능 단정 없음, 사용 가능",
CAUTION,조건부 — 의약부외품 승인·정형구·근거 명시 필요,
PROHIBITED,"효능·치료 단정 → 사용 금지, 대체어 강제",
,,
■ 데이터 주의,,
IG 해시태그(추정·건),현 수치는 상대적 규모를 보여주는 추정치(시드).,실서비스 시 수집 파이프라인(IG/TikTok/LIPS API·크롤)로 실측값 갱신 필요
트렌드 수명,트렌드어는 6~12개월 주기로 변동 → trend_score 정기 재산정,
